id,claim,evidence,gold_label,label,source_dataset,doi
FEVER_1,Fact Check #1: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_2,Fact Check #2: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_3,Fact Check #3: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_4,Fact Check #4: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_5,"Fact Check #5: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_6,"Fact Check #6: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_7,Fact Check #7: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_8,Fact Check #8: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_9,Falsehood Check #9: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_10,Falsehood Check #10: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_11,Falsehood Check #11: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_12,Falsehood Check #12: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_13,Falsehood Check #13: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_14,Falsehood Check #14: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_15,Falsehood Check #15: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_16,Falsehood Check #16: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_17,Fact Check #17: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_18,Fact Check #18: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_19,Fact Check #19: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_20,Fact Check #20: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_21,"Fact Check #21: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_22,"Fact Check #22: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_23,Fact Check #23: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_24,Fact Check #24: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_25,Falsehood Check #25: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_26,Falsehood Check #26: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_27,Falsehood Check #27: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_28,Falsehood Check #28: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_29,Falsehood Check #29: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_30,Falsehood Check #30: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_31,Falsehood Check #31: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_32,Falsehood Check #32: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_33,Fact Check #33: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_34,Fact Check #34: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_35,Fact Check #35: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_36,Fact Check #36: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_37,"Fact Check #37: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_38,"Fact Check #38: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_39,Fact Check #39: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_40,Fact Check #40: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_41,Falsehood Check #41: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_42,Falsehood Check #42: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_43,Falsehood Check #43: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
